artist,artist_eng,member_num,leader_name,gender,agency,idol_id
언타이틀,Untitle,2,유건형,남,예당 음향 (예당 컴퍼니),100042
Hamohamo,HAMO HAMO,2,이성진,남,뮤직 팩토리,100178
아이돌,IDOL,2,최혁준,남,DSP 미디어,101640
구피,Goofy,3,이승광,남,,100023
태사자,Taesaja,4,김형준,남,매스컴,100096
엔알지,N.R.G,3 (5),이성진,남,뮤직 팩토리,100010
오피피에이,O.P.P.A,8,김영훈,남,베토벤 뮤직,100013
T.N.B,TNB,5,손혁,남,,101868
젝스키스,Sechs Kies,6,은지원,남,YG 엔터테인먼트?(결성은?DSP 미디어),100052
쎄쎄쎄,Se Se Se,3,,여,희레코드,101710
