1990	R.ef	Jazz	발라드	['이별', '달달한']
1990	R.ef	니가 뭔데	댄스	['달달한', '조용한']
1990	서태지와 아이들	시대유감(時代遺憾)	록/메탈	['행복한', '달달한', '조용한']
1990	터보	Love Is... (3+3=0)	댄스	['이별', '파워풀한', '달달한']
1990	터보	Twist King	댄스	['이별', '행복한', '파워풀한', '달달한', '조용한']
1990	터보	어느 째즈바	발라드	['달달한', '조용한']
1990	터보	생일 축하곡 (Acid House Remix)	댄스	['행복한']
1990	터보	상처	댄스	['달달한']
1990	R.ef	가을의 기억 (Memories In Fall)	댄스	['이별', '활기찬', '달달한']
1990	R.ef	마음속을 걸어가 (Jungle Ver.)	댄스	['달달한']
1990	언타이틀	책임져	댄스	['이별', '행복한', '달달한']
1990	H.O.T.	전사의후예(폭력시대)	댄스	['행복한', '영어', '아쉬운', '달달한', '조용한']
1990	H.O.T.	캔디	댄스	['달달한']
1990	솔리드	이 밤의 끝을 잡고	R&B/Soul	['달달한']
1990	노이즈	성형미인	댄스	['이별', '행복한', '달달한']
1990	노이즈	착각 (Remix)	댄스	['이별']
1990	Hamohamo	빠삐용 (그의 두통은 자유였다)	댄스	['달달한', '추임새많은']
1990	Hamohamo	True Love	발라드	['달달한']
1990	Hamohamo	히든 카드	댄스	['파워풀한', '달달한']
1990	Hamohamo	세상에 던지는 한마디	댄스	['활기찬', '달달한']
1990	Hamohamo	Pang Pang (나보다 나은 너)	댄스	['달달한', '조용한']
1990	아이돌	환상체험	댄스	['이별', '파워풀한', '달달한']
1990	아이돌	이럴수가	댄스	['이별', '파워풀한', '아쉬운', '달달한']
1990	아이돌	Bow Wow	댄스	['이별', '영어', '달달한', '추임새많은']
1990	아이돌	삼인사각	댄스	['이별', '달달한']
1990	구피	많이많이	댄스	['달달한']
1990	쿨 (COOL)	운명	댄스	['달달한', '조용한']
1990	쿨 (COOL)	루시퍼의 변명	댄스	['아쉬운', '달달한']
1990	룰라	연인	댄스	['이별', '달달한']
1990	터보	회상 (December)	발라드	['이별', '달달한']
1990	터보	Good Bye Yesterday	댄스	['달달한']
1990	터보	금지된 장난	댄스	['이별', '달달한']
1990	R.ef	심연(深淵)	댄스	['달달한']
1990	R.ef	후애	댄스	['달달한']
1990	언타이틀	날개	댄스	['파워풀한', '달달한']
1990	룰라	3!4!	댄스	['영어', '달달한']
1990	룰라	비밀은 없어	댄스	['달달한', '조용한']
1990	룰라	100일째 만남	댄스	['행복한', '달달한']
1990	룰라	날개 잃은 천사	댄스	['달달한']
1990	솔리드	끝이 아니기를	R&B/Soul	['달달한']
1990	젝스키스	사나이 가는 길(폼생폼사)	댄스	['아쉬운', '활기찬', '달달한']
1990	쿨 (COOL)	해변의 여인	댄스	['이별', '파워풀한', '아쉬운', '활기찬', '달달한']
1990	쿨 (COOL)	송인(送人)	발라드	['달달한']
1990	T.N.B	비키니-Ⅰ	댄스	['이별', '아쉬운', '달달한', '추임새많은']
1990	T.N.B	노코멘트 (No Comment)	댄스	['달달한', '조용한']
1990	H.O.T.	행복	댄스	['달달한']
1990	H.O.T.	We are the future	댄스	['아쉬운', '달달한', '추임새많은']
1990	구피	비련	댄스	['이별', '달달한']
1990	엔알지	할수있어	댄스	['달달한']
1990	에스이에스	I'm Your girl	댄스	['이별', '행복한', '파워풀한', '영어', '아쉬운', '달달한', '조용한']
1990	에스이에스	Oh, My Love	댄스	['달달한']
1990	태사자	도	댄스	['달달한', '조용한']
1990	태사자	Time	댄스	['이별', '달달한']
1990	엔알지	사랑만들기	댄스	['달달한']
1990	쿨 (COOL)	또자-쿨쿨	댄스	['이별', '아쉬운', '달달한', '추임새많은']
1990	이글 파이브	오징어 외계인	댄스	['이별', '영어', '달달한']
1990	이글 파이브	궤도	댄스	['영어', '활기찬', '달달한', '추임새많은']
1990	이글 파이브	우리들의 천국	발라드	['활기찬', '달달한']
1990	이글 파이브	어른들의 동화	발라드	['달달한']
1990	이글 파이브	두번째 만남	발라드	['행복한', '달달한']
1990	이글 파이브	지난날 (회상)	발라드	['행복한', '달달한']
1990	이글 파이브	내안의 너	발라드	['달달한']
1990	이글 파이브	따라하기	댄스	['활기찬', '달달한', '추임새많은']
1990	이글 파이브	비상	댄스	['달달한', '추임새많은']
1990	이글 파이브	Dear Friend	발라드	['달달한']
1990	핑클 (Fin.K.L)	Blue Rain	발라드	['달달한']
1990	핑클 (Fin.K.L)	루비(淚悲):슬픈 눈물	발라드	['파워풀한', '달달한']
1990	R.ef	귀머거리 하늘	댄스	['달달한']
1990	R.ef	Never Ending Story	댄스	['달달한']
1990	R.ef	하늘을 걸고	댄스	['달달한']
1990	신화	으샤! 으샤!	댄스	['이별', '영어', '달달한', '조용한', '추임새많은']
1990	신화	해결사	댄스	['영어', '활기찬', '달달한', '조용한']
1990	T.N.B	아름다운 이별 Part 1	발라드	['행복한', '파워풀한', '아쉬운', '달달한', '추임새많은']
1990	T.N.B	남자가 여자를 사랑할때	댄스	['달달한']
1990	T.N.B	진달래꽃	댄스	['행복한', '달달한']
1990	T.N.B	너와 함께 할꺼야	발라드	['달달한']
1990	T.N.B	단심가	발라드	['달달한']
1990	T.N.B	좋은 세상 만들기 (하나)	발라드	['달달한', '추임새많은']
1990	T.N.B	영화같은 이별	댄스	['달달한']
1990	젝스키스	Road Fighter	댄스	['달달한']
1990	베이비복스	야야야	댄스	['이별', '아쉬운', '활기찬', '달달한']
1990	베이비복스	Change	댄스	['이별', '달달한', '추임새많은']
1990	H.O.T.	빛	댄스	['아쉬운', '달달한']
1990	젝스키스	커플	댄스	['아쉬운', '달달한']
1990	원타임	1tym	랩/힙합 	['행복한', '파워풀한', '영어', '아쉬운', '달달한']
1990	원타임	Falling In Love	랩/힙합	['행복한', '달달한']
