artist	title	genre
밀크	Wait For Me	댄스
쥬얼리	달콤한 상상	발라드, 댄스
쥬얼리	하늘같은 사랑	발라드, 댄스
샤크라	Why	발라드
샤크라	결심	발라드
샤크라	이별징후	발라드
샤크라	기원	발라드
샤크라	한 (Come A Come)	댄스
샤크라	사랑징후	댄스
샤크라	Make A Love	댄스
샤크라	Fantasy	댄스
샤크라	Champion	댄스
샤크라	Hey U	댄스
엑스라지	미안해	발라드
엑스라지	슬픈 약속	발라드
엑스라지	Deep Down	발라드
엑스라지	Window Pain	발라드
엑스라지	No Time To Lose	랩/힙합
엑스라지	Why	랩/힙합
엑스라지	Rose	랩/힙합
엑스라지	You	댄스
엑스라지	막상막하	댄스
엑스라지	인연	댄스
엑스라지	Sexy Lady	댄스
에스지	Birthday Kiss	발라드
에스지	몽유애	발라드
에스지	Love Letter	발라드
에스지	그대가	발라드
에스지	My Love Song	발라드
에스지	White	발라드
에스지	내가 꿈꾸는 세계	발라드
에스지	누구야 (Original Ver.)	댄스
에스지	Chaos	댄스
에스지	쉿 (Original Ver.)	댄스
에스지	누구야 (World Mix)	댄스
에스지	Eraser = Born To Kill (Club Ver.)	댄스
에스지	쉿 (Zipecher Mix)	댄스
에스지	누구야 (Who Mix)	댄스
에스지	Outro (슬픈 눈)	댄스
샤크라	Hey U	발라드, 댄스
샤크라	한	발라드, 댄스
파파야	배려	발라드
파파야	있을 때 잘하기	댄스
파파야	탐	댄스
파파야	Smile Smile	댄스
파파야	내 얘길 들어봐	댄스
파파야	꼭 약속해	댄스
파파야	Special	댄스
파파야	바람끼	댄스
파파야	가면	댄스
파파야	있을 때 잘하기	댄스
파파야	Special (Remix)	댄스
샤모니	바리향	발라드, 댄스
샤모니	성실	발라드, 댄스
샤모니	기원	발라드
쥬얼리	몽	댄스
샤크라	Lonely Christmas	발라드
샤크라	Christmas 시리즈	발라드
샤크라	Amazing Grace	발라드
샤크라	석별의 정	발라드
샤크라	상제리제에 내린 축복	댄스
샤크라	루돌프 사슴코	댄스
샤크라	고요한 밤	댄스
샤크라	Santa Claus Is Coming To Town	댄스
샤크라	Chakra X-Mas	댄스
샤크라	Feliz Navida	댄스
샤크라	뒷북치는 소년	댄스
샤크라	Hey U!	댄스
보이 클럽	Always	댄스
보이 클럽	다시	댄스
샤크라	그대라면... (빌어요)	발라드
샤크라	우리들의 이야기	발라드
샤크라	끝 (End)	댄스
샤크라	아니야	댄스
샤크라	사랑이여 (베사메무초)	댄스
샤크라	용 기	댄스
샤크라	Dance Queen	댄스
샤크라	내 느낌!	댄스
샤크라	한 번만 더	댄스
샤크라	Oh! My Boy	댄스
샤크라	주연은 너와 나	댄스
쥬얼리	이젠	발라드
쥬얼리	소나기	발라드
쥬얼리	하늘같은 사랑	댄스
쥬얼리	사랑해	댄스
쥬얼리	달콤한 상상	댄스
쥬얼리	작은 바램	댄스
쥬얼리	Say	댄스
쥬얼리	Heart	댄스
쥬얼리	Say Yes	댄스
쥬얼리	Forever	댄스
쥬얼리	날 믿어요	댄스
쥬얼리	Happy End	댄스
디베이스	사랑한다는 것	발라드
디베이스	그대로	발라드
디베이스	모든것을 너에게	댄스
디베이스	원	댄스
디베이스	Good Life	댄스
디베이스	후회	댄스
디베이스	I`ll Tell U	댄스
디베이스	상처	댄스
디베이스	샤인	댄스
디베이스	Cowboy	댄스
파파야	이제	발라드
파파야	사랑의 속삭임	발라드
파파야	Broken	댄스
파파야	아찔	댄스
파파야	사랑만들기	댄스
파파야	Don`t Move	댄스
파파야	배반	댄스
파파야	참	댄스
파파야	스무살	댄스
파파야	Passion Of Love	댄스
파파야	Violet	댄스
파파야	사랑만들기	댄스
에스지	Erazer	댄스
에스지	누구야	댄스
플래티넘	돌아와줘	댄스
투야	천사의 눈물	발라드
투야	I`ll Be There	발라드
투야	가	댄스
투야	봐	댄스
투야	Run Away	댄스
투야	Touch	댄스
투야	그렇게 넌	댄스
투야	Crazy	댄스
투야	Summer Love	댄스
투야	Myself	댄스
투야	한번만	댄스
케이팝	연인	발라드
케이팝	그림자	댄스
케이팝	Game	댄스
케이팝	0.5	댄스
케이팝	The Pain	댄스
케이팝	시나브로	댄스
케이팝	Comedy	댄스
케이팝	Smile Again	댄스
케이팝	Only You	댄스
케이팝	도플갱어	댄스
케이팝	소름	댄스
케이팝	케세라세라	댄스
케이팝	Love Hacker	댄스
파파야	Smile Smile	댄스
보이스코	어떻게	댄스
보이스코	하루만	댄스
보이스코	두근두근	댄스
보이스코	왔어	댄스
보이스코	깻잎소녀	댄스
보이스코	Show Me Love	댄스
보이스코	두근 두근	댄스
보이스코	하루만 (Remix)	댄스
JTL	A Better Day	랩/힙합
