artist	title	genre
원타임	뭘 위한 세상인가	랩/힙합
터보	애인이 생겼어요	댄스
터보	X (The Greatest Love)	댄스
터보	White Love (스키장에서)	댄스
에스이에스	Dreams Come True	댄스
에스이에스	너를 사랑해	댄스
Circle	Sweetest Love	댄스
Circle	프로포즈	댄스
Circle	"Welcome To The ""Circle Asia"""	댄스
Circle	졸업(卒業)	발라드
Circle	To My Dream	댄스
Circle	여행	댄스
Circle	Go! Go! Go!	댄스
R.ef	상심(Ballad Ver.)	발라드
쿨 (COOL)	애상	댄스
쿨 (COOL)	미절 (Misery)	댄스
god	어머님께	발라드
god	관찰	댄스
코요태	만남	댄스
룰라	기도 (Good)	댄스
룰라	Moving	댄스
언타이틀	댄스! 댄스! 댄스!	댄스
언타이틀	하얀 사랑	댄스
언타이틀	낮과 밤	댄스
이글 파이브	Fire	댄스
이글 파이브	우리들의 천국 (Remix)	댄스
이글 파이브	Game over	댄스
이글 파이브	내 맘속에	댄스
이글 파이브	Fantasia	댄스
이글 파이브	TV 속의 이별	댄스
이글 파이브	몽중인	댄스
이글 파이브	뭐니	댄스
신화	T.O.P. (Twinkling Of Paradise)	댄스
신화	Yo! (악동보고서)	댄스
핑클 (Fin.K.L)	영원한 사랑	댄스
핑클 (Fin.K.L)	자존심	댄스
핑클 (Fin.K.L)	Waiting For You	발라드
Y2K	헤어진 후에	록/메탈
Y2K	깊은 슬픔	록/메탈
Y2K	비련	록/메탈
Y2K	부탁이야	록/메탈
클레오	Good Time	댄스
클레오	니가 나를 꼭 사랑할때만	댄스
클레오	연인	발라드
티티마	Prism	댄스
티티마	My Baby	댄스
티티마	My Baby	댄스
티티마	Smile Again	댄스
티티마	Loner	댄스
티티마	Come To Me	댄스
티티마	A+ (A Plus)	댄스
티티마	Heaven	댄스
티티마	Loving	댄스
솔리드	이 밤의 끝을 잡고	발라드
솔리드	천생연분	댄스
솔리드	이제 그만 화 풀어요	발라드
태사자	Magic	댄스
태사자	Vanessa	댄스
오피피에이	그대야 미안해	댄스
오피피에이	와요와요	댄스
베이비복스	Killer	댄스
클릭비 (Click-B)	Dreamming	댄스 
클릭비 (Click-B)	잊혀진 사랑	댄스
젝스키스	Com' Back	댄스
H.O.T.	아이야!	댄스
핑클 (Fin.K.L)	루비	발라드
에스이에스	Twillight Zone	댄스
에스이에스	Love	댄스
코요태	실연	댄스
god	사랑해 그리고 기억해	발라드
god	애수(哀愁)	댄스
god	Friday Night	댄스
핑클 (Fin.K.L)	화이트 (White)	댄스
핑클 (Fin.K.L)	나의 왕자님께 (To My Prince)	발라드
핑클 (Fin.K.L)	가면의 시간	댄스
