artist,artist_eng,member,leader,gender,agency,idol_id
룰라,Roo'Ra,4,이상민,혼,서울인 프로덕션,106610
쿨,Cool,3 (4),김성수,혼,쿨컴퍼니,100004
터보,Turbo,3 (2),김정남,남,더 터보 컴퍼니,100059
알이에프,R.ef,3,박철우,남,팀 엔터테인먼트,100015
